"Stock.ID","Species","Stock","Ocean.Region2","BY","R0.1","R","S","Lat","Lon","ocean.basin","sst_raw","early_sst","np_all_spp_sec","det_np_all_spp_sec","RS","RS_stnd","lnRS","S_stnd","early_sst_stnd","np_all_spp_sec_stnd","det_np_all_spp_sec_stnd"
176,"Pink","Prince William Sound-Even","GOA",2012,4.219081,4.219081,3.227329,60.5,-147,"GoA",10.6531962614793,0.227494627331528,609.4,-125.22893264939,1.30729807837999,-0.600675202586419,0.267962471669494,-0.32453140807039,0.269559645499318,0.712282534461899,-1.10856750492957
176,"Pink","Prince William Sound-Even","GOA",2014,5.985591,5.985591,2.32906,60.5,-147,"GoA",11.4901725237186,1.06447088957084,685.7,-55.8769898456429,2.56995998385615,0.0915837586585645,0.943890328301918,-0.844132994124348,1.14279130429467,1.13270175234598,-0.179244966470512
176,"Pink","Prince William Sound-Even","GOA",2016,8.550356,8.550356,3.803139,60.5,-147,"GoA",10.9976413891866,0.57193975503879,950.1,203.542244476451,2.24823652251469,-0.084802293847224,0.810146141138539,0.00854452938902268,0.62892514223044,2.58956729898492,3.29699710576003
184,"Pink","Kodiak-Even","GOA",1978,27587356,27587356,8760500,58.03333,-154.6644,"GoA",9.25944266716639,0.18757363732003,408,6.74270672233649,3.14906181154044,0.760543944119904,1.1471045708689,-0.0936216307605839,-0.249990779420212,-1.23838800639491,0.637260151407807
184,"Pink","Kodiak-Even","GOA",1980,17158108,17158108,11322500,58.03333,-154.6644,"GoA",10.0965767065684,1.02470767672204,373.1,-56.9617813504172,1.5153992492824,-0.672572499143854,0.415678935122643,0.591096269805195,0.748531392157195,-1.50827370686041,0.0220312838213856
184,"Pink","Kodiak-Even","GOA",1982,18346429,18346429,9397500,58.03333,-154.6644,"GoA",10.0350020607312,0.963133030884883,479.5,19.9166533387223,1.95226698590051,-0.289334031578399,0.66899125420176,0.0766224374128749,0.675085986545273,-0.685470310598822,0.764488114517513
184,"Pink","Kodiak-Even","GOA",1984,18651799,18651799,7910000,58.03333,-154.6644,"GoA",7.99715234041214,-1.07471668943423,442.8,-46.2703012600903,2.35800240202276,0.066593875379059,0.857814820784192,-0.320925523981191,-1.75563362621232,-0.969275617392057,0.125284718356211
184,"Pink","Kodiak-Even","GOA",1986,21529241,21529241,7189000,58.03333,-154.6644,"GoA",9.00515424410502,-0.0667147857413453,384.8,-133.050532238686,2.99474767005147,0.625173189653755,1.09685997761797,-0.513619359386315,-0.553302574725557,-1.41779626573014,-0.712799141180903
184,"Pink","Kodiak-Even","GOA",1988,15904561.5,15904561.5,7710500,58.03333,-154.6644,"GoA",9.13916183312734,0.0672928032809708,523,-22.2964046529494,2.06271467479411,-0.192444745669118,0.724022918558918,-0.374243721156395,-0.393460133132811,-0.349079824345259,0.356813668787468
184,"Pink","Kodiak-Even","GOA",1990,8601130,8601130,10544425.5,58.03333,-154.6644,"GoA",8.71650832891464,-0.355360700931725,472.3,-98.5345494540033,0.815703994494532,-1.28637414831927,-0.203703741673333,0.383148752973123,-0.897595522434063,-0.741148735909756,-0.37945953443293
184,"Pink","Kodiak-Even","GOA",1992,13075758.25,13075758.25,6152888,58.03333,-154.6644,"GoA",9.70204898516337,0.63017995531701,698.6,104.586515589127,2.12514160017215,-0.137681261869867,0.75383843553147,-0.790529754933157,0.277944056578005,1.00885510407142,1.58219099616573
184,"Pink","Kodiak-Even","GOA",1994,8371807.75,8371807.75,6989463.25,58.03333,-154.6644,"GoA",8.72274202108383,-0.349127008762533,677.1,62.4949727182841,1.19777548726649,-0.95120521475627,0.180466075842102,-0.566947378334683,-0.890160058638835,0.84259313960127,1.17569008800648
184,"Pink","Kodiak-Even","GOA",1996,28186622.25,28186622.25,5864020.75,58.03333,-154.6644,"GoA",10.561123919487,1.48925488964063,636.1,3.41288756017445,4.80670574878167,2.21469784249495,1.57001197397013,-0.867732165925433,1.30263703117177,0.525535439914004,0.605102277851631
184,"Pink","Kodiak-Even","GOA",1998,14118492.25,14118492.25,12405286.25,58.03333,-154.6644,"GoA",8.01652927597364,-1.05533975387273,567.9,-80.751501994812,1.13810289947965,-1.00355247957406,0.129362752951743,0.880480784973616,-1.73252107927873,-0.00186297761457047,-0.207718979229675
184,"Pink","Kodiak-Even","GOA",2000,26281139.75,26281139.75,7867046.25,58.03333,-154.6644,"GoA",9.42953338623047,0.357664356384106,574.2,-88.905210980894,3.34066165557372,0.928623260714719,1.20616888784047,-0.3324053059958,-0.0471088678372773,0.0468556445324977,-0.286463778817539
184,"Pink","Kodiak-Even","GOA",2002,32823705.5,32823705.5,14693351.75,58.03333,-154.6644,"GoA",9.80390155712764,0.73203252728127,594.2,-82.4804935346892,2.23391545091133,-0.0422603360968145,0.803755853427378,1.49198718837603,0.399432428274306,0.201517937062871,-0.224416790315298
