"Stock.ID","Stock","BY","Species","Region","Sub.Region","S","R","UseFlag","R2","R3","R4","R5","R6","R7","Lat","Lon","Ocean.Region2"
302,"Grays Harbour",1997,"Chum","Outside WA","Outside WA",13456,28370,1,0,0.137504406062742,0.622171307719422,0.240324286217836,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",1998,"Chum","Outside WA","Outside WA",35188,33306,1,0,0.210952981444785,0.748423707440101,0.0406233111151144,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",1999,"Chum","Outside WA","Outside WA",12260,79870,1,0,0.41213221484913,0.535470138975836,0.0523976461750344,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2000,"Chum","Outside WA","Outside WA",8936,29957,1,0,0.151784224054478,0.761791901725807,0.0864238742197149,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2001,"Chum","Outside WA","Outside WA",24898,23219,1,0,0.212369180412593,0.730910030578406,0.0567207890090013,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2002,"Chum","Outside WA","Outside WA",56175,16985,1,0,0.104974977921696,0.748542831910509,0.146482190167795,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2003,"Chum","Outside WA","Outside WA",37947,9163,1,0,0.123867728909746,0.849503437738732,0.0266288333515224,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2004,"Chum","Outside WA","Outside WA",17063,5724,1,0,0.259433962264151,0.621069182389937,0.119496855345912,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2005,"Chum","Outside WA","Outside WA",14490,16412,1,0,0.152144772117962,0.677857665123081,0.169997562758957,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2006,"Chum","Outside WA","Outside WA",10826,41414,1,0,0.172574491717777,0.793379050562612,0.0340464577196117,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2007,"Chum","Outside WA","Outside WA",11051,62104,1,0,0.105355532654901,0.719454463480613,0.175190003864485,0,0,46.95083,-124.0497,"WC"
302,"Grays Harbour",2008,"Chum","Outside WA","Outside WA",3938,27664,1,0,0.0811162521688838,0.816693175245807,0.102190572585309,0,0,46.95083,-124.0497,"WC"
