"","Model","Competitor index","Parameter","Era","Region","Posterior_Mean","Lower_2.5_CI","Lower_10_CI","Posterior_Median","Upper_90_CI","Upper_97.5_CI"
"50","1","all_spp_biomass_np","SST effect","Early","Southeast Alaska",0.0272362708724039,-0.168596931933251,-0.0956994443119566,0.0272950004775675,0.152436322649446,0.21670612552408
"51","1","all_spp_biomass_np","SST effect","Early","Gulf of Alaska",0.108552680922829,-0.00198822251554054,0.038738081134102,0.109670058489569,0.176913869370155,0.211243519527915
"52","1","all_spp_biomass_np","SST effect","Early","Bering Sea",0.115752095379191,0.0161122743413718,0.0506057806054283,0.114326136147174,0.183613453993557,0.222260853769214
"53","1","all_spp_biomass_np","SST effect","Middle","West Coast",-0.125165558753805,-0.212693646404096,-0.181664179751424,-0.125043339503605,-0.0684814775613689,-0.0398024049372446
"54","1","all_spp_biomass_np","SST effect","Middle","Southeast Alaska",0.0849802195367591,-0.071622780551705,-0.0170025937624572,0.0862765009916408,0.184698107624289,0.241339485107045
"55","1","all_spp_biomass_np","SST effect","Middle","Gulf of Alaska",0.0323976109384328,-0.0631875249930004,-0.030394465602523,0.0327697886027154,0.0964406985963973,0.132124864126266
"56","1","all_spp_biomass_np","SST effect","Middle","Bering Sea",0.265484890035646,0.162315014451092,0.19834321942603,0.266270388661117,0.332814391520036,0.367122179213805
"57","1","all_spp_biomass_np","SST effect","Late","West Coast",-0.177331165290935,-0.386982114094062,-0.313339412347602,-0.177678501716963,-0.0417267396419608,0.0353876425463943
"58","1","all_spp_biomass_np","SST effect","Late","Southeast Alaska",-0.464390975814471,-0.758044452237257,-0.660640747991844,-0.463003191958968,-0.274122824137524,-0.175918558207618
"59","1","all_spp_biomass_np","SST effect","Late","Gulf of Alaska",-0.309385918576573,-0.507893167618551,-0.440622739139635,-0.307580940615194,-0.183372343703747,-0.108556869450985
"60","1","all_spp_biomass_np","SST effect","Late","Bering Sea",0.0999248740905145,-0.0625477337961945,-0.00280488498381743,0.0999154086777237,0.201464746235933,0.255338925700144
"61","1","all_spp_biomass_np","Competitor effect","Early","West Coast",-0.196247333535859,-0.340131702967341,-0.288098758775202,-0.195726834946644,-0.10453418888342,-0.0542453023711149
"62","1","all_spp_biomass_np","Competitor effect","Early","Southeast Alaska",0.164571175845581,-0.0955907019130337,-0.00417268177096416,0.161998808858767,0.330135251302319,0.43546785383461
