Year,pink_numbers_np,pink_numbers_np_hatch,pink_numbers_na,all_spp_biomass_np,all_spp_numbers_np,all_spp_numbers_np_bs,all_spp_numbers_np_goa,all_spp_numbers_np_wc,all_spp_biomass_np_bs,all_spp_biomass_np_goa,all_spp_biomass_np_wc,all_spp_numbers_na_bs,all_spp_numbers_na_goa,all_spp_numbers_na_wc,all_numbers_np_hatch
1968,172.0482063,11.85658525,106.2807914,569.6574247,270.0579143,259.5906758,263.2122888,250.5248054,543.5085229,549.7754323,513.4861898,155.6875479,159.309161,146.6216775,20.77999552
1969,220.7792867,6.065093386,54.34883364,609.121219,305.9088864,282.5405049,300.274455,295.1685459,552.9156275,592.9829114,581.607989,84.63283288,102.366783,97.26087389,18.05862541
1970,132.2029342,9.906842455,69.80047101,618.283517,268.1575922,222.1150577,260.2009789,255.4734892,509.430185,595.6320103,582.3107251,117.3500336,155.4359548,150.7084651,24.02448168
1971,202.78803,7.910760872,54.78100033,681.546988,324.9145239,305.2353944,318.6827512,291.8393336,628.0175991,662.580126,588.9722995,115.1111887,128.5585455,101.7151278,27.92753678
1972,126.2276425,18.72899522,53.12752129,510.8720924,224.6738138,216.4567783,219.444072,212.5553138,488.8525837,495.5059311,478.7470865,100.1515074,103.1388012,96.25004297,39.25232199
1973,158.6269034,17.49903333,36.94518169,567.8287348,258.152649,253.7628505,253.2291146,238.2642731,553.5796744,550.3822354,512.219583,91.659348,91.12561208,76.1607706,39.50281929
1974,133.9360774,16.63432485,42.37786414,534.5145177,238.3194561,225.6516746,233.1018156,219.7240042,501.1116897,518.7527771,478.6891007,88.16219652,95.61233754,82.23452613,43.26636776
1975,228.2673373,20.86252489,47.41930387,651.9611951,339.2476241,312.2735556,334.9203935,330.027544,586.0613783,639.1376392,629.1687309,80.61812022,103.2649581,98.37210864,54.97923384
1976,199.0080226,21.50072309,80.83444671,638.9161782,305.0497121,290.6599056,296.9105546,294.432267,599.2381217,613.3759941,611.2014128,124.0913249,130.3419739,127.8636863,46.94683249
1977,279.1204321,12.69460664,67.1620778,742.2817695,381.4260423,369.2871918,371.8675256,364.3500264,706.0853558,708.1279314,695.7891102,119.5602609,122.1405947,114.6230954,33.14789061
1978,234.0968415,11.41118979,121.1188957,708.0605098,349.5954565,325.432445,340.8389784,333.5278953,643.0676052,678.6715633,658.407668,172.1463813,187.5529147,180.2418316,34.07896043
